姓名,电话,邮箱,主页,生日,照片,单位,地址,邮编,分组,备注,拼音首字母,完整拼音
林爱东,,,,,,,,,富哥,,LAD,linaidong
林佳怡,,,,,G:\绝密档案\黑宫\P\1 (7).jpg,,,,同学,,LJY,linjiayi
李鸿轩,,,,,,,,,同学,,LHX,lihongxuan
林他,123,,,,G:\绝密档案\黑宫\P\1 (17).jpg,,,,同学,,LT,linta
梁明,123,,,,,,,,未分组,,LM,liangming
Tom,,,,,,,,,同学,,Tom,Tom
张,,163,,,,,,,未分组,,Z,zhang
张宝,,163,,,,,,,未分组,,ZB,zhangbao
王伟,13800138000,ww@example.com,,1990-05-15,,腾讯科技,北京市海淀区,100080,同事,,WW,wangwei
李娜,13900139000,ln@example.com,,1988-08-20,,阿里巴巴,杭州市余杭区,311121,朋友,,LN,lina
陈晨,13700137000,cc@example.com,,1992-11-25,,字节跳动,北京市朝阳区,100020,同事,,CC,chenchen
刘洋,13600136000,ly@example.com,,1995-03-10,,华为技术,深圳市龙岗区,518129,同学,,LY,liuyang
赵敏,13500135000,zm@example.com,,1993-07-18,,百度科技,北京市海淀区,100085,朋友,,ZM,zhaomin
周杰,13400134000,zj@example.com,,1991-09-30,,小米科技,北京市朝阳区,100102,同事,,ZJ,zhoujie
吴婷,13300133000,wt@example.com,,1994-12-05,,网易公司,广州市天河区,510630,同学,,WT,wuting
郑浩,13200132000,zh@example.com,,1990-02-14,,京东集团,北京市大兴区,100176,同事,,ZH,zhenghao
孙丽,13100131000,sl@example.com,,1996-06-22,,美团点评,北京市朝阳区,100020,朋友,,SL,sunli
马强,13000130000,mq@example.com,,1989-04-17,,滴滴出行,北京市海淀区,100080,同事,,MQ,maqiang
